id,income,car
9035,71749.25,0.25
3756,71888,0.17
3226,72343.5,0
3126,72537.83333,0.17
10033,72540.57143,0.14
12158,72809,0
7376,72905,0
7964,72992,0.33
8280,73416.83333,0
5579,73445,0
3953,73564.16667,0
12507,73566,0.2
6882,73631.625,0.13
5695,73777.6,0
4803,73799.33333,0
4841,73881.33333,0
6924,74011.66667,0
3909,74024.16667,0
1517,74077,0
13554,74109.75,0
7459,74137,0
2436,74205.16667,0
13538,74217.33333,0.17
4265,74276.14286,0.14
6064,74457.25,0
6447,74546.66667,0.17
6905,74739.5,0.5
3270,74793.33333,0
8077,74798,0.14
4520,75034.5,0.17
1563,75224,0
3775,75300.14286,0
7946,75506.4,0
12173,75585,0
2135,75601.14286,0
9427,75678.4,0.2
5537,75693.83333,0
6128,75794.4,0.2
5461,75846,0
4763,75867.85714,0.14
2034,76037.6,0.2
2721,76058,0
7583,76410.33333,0
6440,76495.14286,0
6047,76827,0.14
8442,76839,0
12171,76918.16667,0.17
3470,77000,0
8013,77499.16667,0.17
1282,77571.625,0
8829,77685.33333,0.17
10050,77714.8,0
13796,77761.88889,0.11
6197,77802,0.25
2927,78077.6,0.2
357,78201.4,0.2
7847,78558.4,0.2
6918,78674,0
7854,78764.25,0.25
1998,78773.2,0
3918,79009.4,0.2
5661,79095.33333,0.33
9285,79311.71429,0.14
1805,79375.8,0
6896,79380.6,0
7297,79518.85714,0.29
3563,79559.75,0.25
13513,79598.57143,0
7611,79601.6,0.2
9386,79617.75,0
6695,79628.25,0.25
7545,79666,0
4048,79705.16667,0.17
7782,79729,1
460,79741,0
11558,79894.5,0.25
5904,80413.14286,0
6228,80629.25,0.25
3139,80662,0.25
4161,80804.4,0.2
6407,80841.83333,0
4896,80855,0
7384,80911,0
4148,80944.5,0.08
5526,81053.33333,0
6102,81080.6,0.2
7972,81174.83333,0.17
7504,81275.25,0
7910,81308.5,0
1676,81309.85714,0
8015,81310,0
6151,81343,0
8470,81431.5,0
6930,81519,0.14
7947,81674.66667,0.67
5403,81779,0
1309,81783,0.14
12167,82047.4,0.2
8383,82166.4,0.2
2674,82177.66667,0.17
1559,82202.6,0
5912,82213.42857,0.14
